circle, 275, 500, 30, 30, -65536
filledCircle, 325, 500, 40, 40, -256
circle, 375, 500, 47, 47, -16711936
filledCircle, 425, 500, 48, 48, -16776961
circle, 475, 500, 47, 47, -256
filledCircle, 525, 500, 48, 48, -65536
387, 264, 387, 263, -13421569
387, 263, 388, 263, -13421569
388, 263, 389, 263, -13421569
389, 263, 392, 261, -13421569
392, 261, 397, 261, -13421569
397, 261, 406, 261, -13421569
406, 261, 412, 259, -13421569
412, 259, 418, 258, -13421569
418, 258, 419, 258, -13421569
419, 258, 420, 258, -13421569
420, 258, 421, 258, -13421569
421, 258, 423, 258, -13421569
423, 258, 425, 258, -13421569
425, 258, 426, 258, -13421569
426, 258, 428, 258, -13421569
428, 258, 429, 258, -13421569
429, 258, 430, 258, -13421569
430, 258, 430, 257, -13421569
430, 257, 430, 256, -13421569
430, 256, 430, 254, -13421569
430, 254, 431, 254, -13421569
431, 254, 431, 253, -13421569
431, 253, 431, 252, -13421569
431, 252, 432, 251, -13421569
432, 251, 433, 251, -13421569
433, 251, 434, 249, -13421569
434, 249, 436, 248, -13421569
436, 248, 438, 246, -13421569
438, 246, 440, 244, -13421569
440, 244, 442, 242, -13421569
442, 242, 445, 239, -13421569
445, 239, 447, 238, -13421569
447, 238, 450, 235, -13421569
450, 235, 452, 233, -13421569
452, 233, 453, 232, -13421569
453, 232, 454, 230, -13421569
454, 230, 455, 229, -13421569
455, 229, 456, 228, -13421569
456, 228, 457, 227, -13421569
457, 227, 459, 225, -13421569
459, 225, 459, 224, -13421569
459, 224, 460, 224, -13421569
460, 224, 461, 223, -13421569
461, 223, 462, 222, -13421569
462, 222, 462, 224, -13421569
462, 224, 462, 226, -13421569
462, 226, 462, 228, -13421569
462, 228, 462, 230, -13421569
462, 230, 462, 231, -13421569
462, 231, 462, 232, -13421569
462, 232, 462, 234, -13421569
462, 234, 462, 235, -13421569
462, 235, 462, 237, -13421569
462, 237, 462, 239, -13421569
462, 239, 462, 240, -13421569
462, 240, 462, 241, -13421569
462, 241, 461, 244, -13421569
461, 244, 460, 246, -13421569
460, 246, 460, 247, -13421569
460, 247, 458, 248, -13421569
458, 248, 458, 250, -13421569
458, 250, 457, 251, -13421569
457, 251, 457, 253, -13421569
457, 253, 457, 254, -13421569
457, 254, 456, 255, -13421569
456, 255, 456, 256, -13421569
456, 256, 455, 257, -13421569
455, 257, 456, 257, -13421569
456, 257, 457, 258, -13421569
457, 258, 458, 259, -13421569
458, 259, 460, 259, -13421569
460, 259, 462, 259, -13421569
462, 259, 464, 260, -13421569
464, 260, 465, 261, -13421569
465, 261, 466, 261, -13421569
466, 261, 468, 262, -13421569
468, 262, 469, 262, -13421569
469, 262, 470, 263, -13421569
470, 263, 471, 264, -13421569
471, 264, 472, 266, -13421569
472, 266, 473, 268, -13421569
473, 268, 473, 269, -13421569
473, 269, 474, 271, -13421569
474, 271, 475, 272, -13421569
475, 272, 475, 273, -13421569
475, 273, 475, 274, -13421569
475, 274, 475, 275, -13421569
475, 275, 477, 277, -13421569
477, 277, 477, 278, -13421569
477, 278, 477, 280, -13421569
477, 280, 477, 281, -13421569
477, 281, 477, 283, -13421569
477, 283, 477, 285, -13421569
477, 285, 477, 287, -13421569
477, 287, 478, 289, -13421569
478, 289, 478, 290, -13421569
478, 290, 478, 291, -13421569
478, 291, 478, 292, -13421569
478, 292, 478, 293, -13421569
478, 293, 478, 294, -13421569
478, 294, 478, 295, -13421569
478, 295, 478, 296, -13421569
478, 296, 478, 297, -13421569
478, 297, 478, 298, -13421569
478, 298, 476, 299, -13421569
476, 299, 476, 301, -13421569
476, 301, 475, 302, -13421569
475, 302, 474, 303, -13421569
474, 303, 473, 303, -13421569
473, 303, 472, 305, -13421569
472, 305, 471, 306, -13421569
471, 306, 470, 307, -13421569
470, 307, 468, 308, -13421569
468, 308, 466, 309, -13421569
466, 309, 464, 309, -13421569
464, 309, 461, 311, -13421569
461, 311, 458, 312, -13421569
458, 312, 457, 313, -13421569
457, 313, 455, 314, -13421569
455, 314, 454, 314, -13421569
454, 314, 453, 315, -13421569
453, 315, 451, 316, -13421569
451, 316, 449, 317, -13421569
449, 317, 448, 317, -13421569
448, 317, 445, 319, -13421569
445, 319, 442, 319, -13421569
442, 319, 440, 319, -13421569
440, 319, 437, 321, -13421569
437, 321, 435, 321, -13421569
435, 321, 433, 322, -13421569
433, 322, 432, 322, -13421569
432, 322, 431, 322, -13421569
431, 322, 429, 323, -13421569
429, 323, 427, 323, -13421569
427, 323, 424, 323, -13421569
424, 323, 421, 323, -13421569
421, 323, 416, 323, -13421569
416, 323, 411, 323, -13421569
411, 323, 406, 323, -13421569
406, 323, 402, 323, -13421569
402, 323, 397, 323, -13421569
397, 323, 393, 323, -13421569
393, 323, 388, 323, -13421569
388, 323, 385, 323, -13421569
385, 323, 383, 323, -13421569
383, 323, 380, 323, -13421569
380, 323, 379, 323, -13421569
379, 323, 378, 323, -13421569
378, 323, 377, 323, -13421569
377, 323, 374, 323, -13421569
374, 323, 371, 322, -13421569
371, 322, 370, 322, -13421569
370, 322, 369, 321, -13421569
369, 321, 367, 321, -13421569
367, 321, 365, 320, -13421569
365, 320, 364, 319, -13421569
364, 319, 363, 319, -13421569
363, 319, 362, 318, -13421569
362, 318, 361, 317, -13421569
361, 317, 360, 316, -13421569
360, 316, 358, 314, -13421569
358, 314, 357, 314, -13421569
357, 314, 356, 313, -13421569
356, 313, 355, 313, -13421569
355, 313, 355, 312, -13421569
355, 312, 354, 311, -13421569
354, 311, 354, 310, -13421569
354, 310, 354, 309, -13421569
354, 309, 353, 307, -13421569
353, 307, 353, 305, -13421569
353, 305, 353, 304, -13421569
353, 304, 353, 303, -13421569
353, 303, 353, 302, -13421569
353, 302, 353, 300, -13421569
353, 300, 353, 299, -13421569
353, 299, 353, 298, -13421569
353, 298, 353, 296, -13421569
353, 296, 353, 295, -13421569
353, 295, 354, 294, -13421569
354, 294, 354, 293, -13421569
354, 293, 355, 292, -13421569
355, 292, 356, 291, -13421569
356, 291, 356, 290, -13421569
356, 290, 357, 289, -13421569
357, 289, 358, 288, -13421569
358, 288, 359, 287, -13421569
359, 287, 360, 286, -13421569
360, 286, 360, 285, -13421569
360, 285, 361, 284, -13421569
361, 284, 361, 283, -13421569
361, 283, 362, 282, -13421569
362, 282, 363, 281, -13421569
363, 281, 364, 280, -13421569
364, 280, 364, 279, -13421569
364, 279, 364, 278, -13421569
364, 278, 364, 277, -13421569
364, 277, 363, 276, -13421569
